1,101,202
2,86,172
3,76,153
4,57,115
5,76,152
6,98,196
7,90,181
8,86,173
9,61,122
10,71,142
11,59,119
12,75,151
13,50,101
14,50,100
15,70,141
16,99,199
17,106,213
18,63,126
19,77,154
20,64,128
21,87,174
22,51,103
23,65,130
24,106,213
25,73,146
26,60,121
27,101,202
28,90,181
29,50,101
30,71,142
31,72,144
32,108,216
33,87,174
34,107,215
35,69,138
36,55,111
37,109,219
38,97,194
39,106,212
40,105,211
41,88,177
42,71,142
43,95,190
44,54,108
45,91,182
46,66,133
47,79,158
48,101,202
49,61,122
50,83,167
51,106,212
52,83,166
53,91,182
