0,1,20
0,2,20
0,3,20
0,4,20
0,5,20
0,6,20
0,7,20
0,8,20
0,9,20
0,10,20
0,11,20
0,12,20
0,13,20
0,14,20
0,15,20
0,16,20
0,17,20
0,18,20
0,19,20
0,20,20
0,21,20
0,22,20
0,23,20
0,24,20
0,25,20
0,26,20
0,27,20
0,28,20
0,29,20
0,30,20
0,31,20
0,32,20
0,33,20
0,34,20
0,35,20
0,36,20
0,37,20
0,38,20
0,39,20
0,40,20
0,41,20
0,42,20
0,43,20
0,44,20
0,45,20
0,46,20
0,47,20
0,48,20
0,49,20
0,50,20
0,51,20
0,52,20
0,53,20
1,3,20
1,5,20
1,6,20
1,7,20
1,8,20
1,10,20
1,11,20
1,12,20
1,15,20
1,28,20
1,38,20
1,45,20
1,46,20
1,48,20
1,49,20
2,13,20
2,20,20
2,21,20
2,32,20
2,39,20
2,40,20
2,47,20
2,53,20
3,1,20
3,4,20
3,9,20
3,16,20
3,17,20
3,18,20
3,19,20
3,24,20
3,25,20
3,26,20
3,27,20
3,30,20
3,33,20
3,36,20
3,37,20
3,41,20
3,42,20
3,50,20
3,51,20
3,52,20
4,35,20
4,43,20
4,44,20
